,$id,Name,Position,Grade,YearOfBirth,PersonalShares,FromDate,ClosedDate,StockCode
0,2,Mr. Nguyễn Thế Anh,Chairman of BOD,59,1970      ,69900.0,1992      ,2019-12-31T00:00:00,A32
1,3,Mr. Ngô Thành Thắng,CEO/Member of BOD,"351,533",1977      ,10600.0,1996      ,2019-12-31T00:00:00,A32
2,4,Ms. Hà Ngọc Oanh,Chief of Supervisory Board,59,1971      ,8500.0,1993      ,2019-12-31T00:00:00,A32
3,5,Mr. Vũ Xuân Tạo,Member of BOD,15,1960      ,92800.0,1998      ,2019-12-31T00:00:00,A32
4,6,Mr. Trần Bá Thượng,Member of BOD,24,1967      ,150000.0,2016      ,2019-12-31T00:00:00,A32
5,7,Ms. Trần Thị Bình,Chief Accountant/Deputy CEO/Member of BOD,"59,13",1975      ,9100.0,1998      ,2019-12-31T00:00:00,A32
6,8,Mr. Dương Hoài Nam,Member of Supervisory Board,275,1971      ,1200.0,1994      ,2019-12-31T00:00:00,A32
7,9,Ms. Đặng Thị Thúy Hà,Member of Supervisory Board,59,1978      ,5300.0,2000      ,2019-12-31T00:00:00,A32
0,2,Mr. Phạm Ánh Dương,Chairman of BOD,56,1976      ,0.0,2007      ,2021-03-01T00:00:00,AAA
1,3,Mr. Nguyễn Lê Trung,CEO/Member of BOD,56,1976      ,0.0,2007      ,2021-03-01T00:00:00,AAA
2,4,Ms. Nguyễn Thị Giang,Chief of Supervisory Board,"59,88",1983      ,0.0,2010      ,2021-03-01T00:00:00,AAA
3,5,Ms. Nguyễn Thị Thùy Vân,Chief Accountant,88,1984      ,420000.0,2018      ,2021-03-01T00:00:00,AAA
4,6,Mr. Phạm Hoàng Việt,Member of BOD,56,1981      ,0.0,2007      ,2021-03-01T00:00:00,AAA
5,7,Mr. Đinh Xuân Cường,Member of BOD,64,1976      ,0.0,2018      ,2021-03-01T00:00:00,AAA
6,8,Ms. Nguyễn Thị Tiện,Member of BOD,23,1985      ,0.0,2007      ,2021-03-01T00:00:00,AAA
7,9,Ms. Trần Thị Thoản,Deputy CEO/Member of BOD,13,1985      ,0.0,2009      ,2021-03-01T00:00:00,AAA
8,10,Mr. Ngô Văn Thụ,Deputy CEO,46,1982      ,0.0,2009      ,2021-03-01T00:00:00,AAA
9,11,Ms. Lâm Thị Hiền,Deputy CEO,59,1987      ,0.0,2012      ,2021-03-01T00:00:00,AAA
10,12,Ms. Hòa Thị Thu Hà,Deputy CEO/Member of BOD,59,1978      ,0.0,2006      ,2021-03-01T00:00:00,AAA
11,13,Ms. Nguyễn Thị Phượng,Member of Supervisory Board,59,1989      ,0.0,2018      ,2021-03-01T00:00:00,AAA
12,14,Ms. Văn Thị Lan Anh,Member of Supervisory Board,408,1977      ,0.0,2007      ,2021-03-01T00:00:00,AAA
13,15,Ms. Phạm Thị Dung,,23,1992      ,0.0,2019      ,2021-03-01T00:00:00,AAA
0,2,Mr. Lương Hoàng Mãnh,Chairman of BOD,"46,56",1959      ,4879732.0,1997      ,2021-03-04T00:00:00,AAM
1,3,Ms. Nguyễn Thị Kim Lan,Chief of Supervisory Board,208,1958      ,65269.0,N/A       ,2021-03-04T00:00:00,AAM
2,4,Mr. Nguyễn Hoàng Anh,Chief Accountant,14,1973      ,441834.0,2019      ,2021-03-04T00:00:00,AAM
3,5,Mr. Lương Hoàng Duy,Director/Member of BOD,59,1987      ,146125.0,2012      ,2021-03-04T00:00:00,AAM
4,6,Mr. Nguyễn Hoàng Nhơn,Vice Chairman of BOD,59,1951      ,395577.0,2002      ,2021-03-04T00:00:00,AAM
5,7,Ms. Nguyễn Thị Chính,Member of BOD,57,1958      ,387205.0,1998      ,2021-03-04T00:00:00,AAM
6,8,Ms. Trần Thị Bé Năm,Member of BOD,3,1958      ,275678.0,2002      ,2021-03-04T00:00:00,AAM
7,9,Ms. Tô Thị Cúc,Member of Supervisory Board,208,-1        ,66639.0,N/A       ,2021-03-04T00:00:00,AAM
8,10,Mr. Nguyễn Văn Hằng,Member of Supervisory Board,208,-1        ,0.0,2012      ,2021-03-04T00:00:00,AAM
9,11,Ms. Nguyễn Châu Hoàng Quyên,Deputy Director,55,1982      ,0.0,2012      ,2021-03-04T00:00:00,AAM
10,12,Mr. Lương Hoàng Khánh Duy,Deputy Director/Member of BOD,56,1994      ,150800.0,N/A       ,2021-03-04T00:00:00,AAM
0,2,Mr. Nguyễn Thanh Hải,Chairman of BOD,59,1960      ,9243750.0,2010      ,2020-12-31T00:00:00,AAV
1,3,Mr. Trương Thanh Sơn,CEO/Member of BOD,59,1966      ,3187500.0,2010      ,2020-12-31T00:00:00,AAV
2,4,Ms. Nguyễn Thị Tư,Chief of Supervisory Board,88,1984      ,0.0,2010      ,2020-12-31T00:00:00,AAV
3,5,Ms. Bùi Thị Bích Vân,Member of BOD,59,1961      ,0.0,          ,2020-12-31T00:00:00,AAV
4,6,Mr. Nguyễn Sỹ Điều,Member of BOD,59,1978      ,0.0,          ,2020-12-31T00:00:00,AAV
5,7,Mr. Nguyễn Trọng Điều,Deputy CEO,"24,433",1966      ,0.0,2019      ,2020-12-31T00:00:00,AAV
6,8,Mr. Nguyễn Tuấn Anh,Chief Accountant/Deputy CEO/Member of BOD,59,1982      ,575000.0,2010      ,2020-12-31T00:00:00,AAV
7,9,Mr. Dương Văn Điệp,Deputy CEO/Member of BOD,2,1968      ,575000.0,2010      ,2020-12-31T00:00:00,AAV
8,10,Mr. Nguyễn Minh Xô,Deputy CEO,408,1959      ,258750.0,2011      ,2020-12-31T00:00:00,AAV
9,11,Mr. Trần Ngọc Việt,Member of Supervisory Board,2,1956      ,0.0,2018      ,2020-12-31T00:00:00,AAV
10,12,Mr. Nguyễn Trương Khôi,Member of Supervisory Board,516,1946      ,258750.0,2017      ,2020-12-31T00:00:00,AAV
0,2,Mr. Ho Feng Tao,Chairman of BOD,616,1971      ,-1.0,2019      ,2020-12-31T00:00:00,ABR
1,3,"Ms. Lan, Wan - Chen",CEO,203,1972      ,977300.0,2019      ,2020-12-31T00:00:00,ABR
2,4,Mr. Liew Sep Siang,Chief of Supervisory Board,203,1978      ,-1.0,N/A       ,2020-12-31T00:00:00,ABR
3,5,Ms. Nguyễn Hải Linh,Chief Accountant,203,1989      ,-1.0,2019      ,2020-12-31T00:00:00,ABR
4,6,Ms. Trương Thị Vân,Vice Chairman of BOD,56,1983      ,382020.0,2012      ,2020-12-31T00:00:00,ABR
5,7,Ms. Hoàng Như Quỳnh,Member of BOD,203,-1        ,100.0,2019      ,2020-12-31T00:00:00,ABR
6,8,Mr. Ngô Văn Triển,Member of BOD,14,1970      ,0.0,2017      ,2020-12-31T00:00:00,ABR
7,9,Mr. Trương Thành Hưng,Deputy CEO/Member of BOD,80,1985      ,41980.0,2015      ,2020-12-31T00:00:00,ABR
8,10,"Mr. Tsai, Hsiu - Li",Member of Supervisory Board,203,1972      ,-1.0,N/A       ,2020-12-31T00:00:00,ABR
9,11,"Ms. Lo, Nai - Wei",Member of Supervisory Board,203,1986      ,-1.0,N/A       ,2020-12-31T00:00:00,ABR
10,12,Ms. Võ Thị Nhi,,203,-1        ,-1.0,N/A       ,2020-12-31T00:00:00,ABR
0,2,Mr. Trần Văn Mười,Chairman of BOD,230,1973      ,15460000.0,2006      ,2020-12-31T00:00:00,ABS
1,3,Ms. Trương Thùy Linh,Chief of Supervisory Board,432,1972      ,500.0,2018      ,2020-12-31T00:00:00,ABS
2,4,Mr. Nguyễn Văn Thủy,Chief Accountant,8,1960      ,9800.0,2010      ,2020-12-31T00:00:00,ABS
3,5,Mr. Phạm Mạnh Hùng,Director/Member of BOD,59,1973      ,100000.0,2020      ,2020-12-31T00:00:00,ABS
4,6,Mr. Đinh Quang Sáng,Vice Chairman of BOD,91,1949      ,30000.0,2012      ,2020-12-31T00:00:00,ABS
5,7,Mr. Mai Quốc Hưng,Member of BOD,27,1994      ,25000.0,          ,2020-12-31T00:00:00,ABS
6,8,Ms. Vũ Thị Hải,Member of BOD,203,-1        ,0.0,          ,2020-12-31T00:00:00,ABS
7,9,Ms. Mai Thị Thanh Hải,Member of Supervisory Board,203,-1        ,500.0,N/A       ,2020-12-31T00:00:00,ABS
8,10,Ms. Đào Thị Kim Lương,Member of Supervisory Board,373,1973      ,50000.0,2018      ,2020-12-31T00:00:00,ABS
9,11,Mr. Hoàng Văn Hồng,Deputy Director,203,1972      ,0.0,N/A       ,2020-12-31T00:00:00,ABS
10,12,Mr. Nguyễn Nhật Huy,Deputy Director,203,-1        ,0.0,N/A       ,2020-12-31T00:00:00,ABS
11,13,Mr. Nguyễn Đạt Châu,,203,-1        ,-1.0,2020      ,2020-12-31T00:00:00,ABS
