,$id,CompanyCode,FullName,CompanyID,CatID
0,2,A32,32 Joint Stock Company ,4712,3
1,3,AAA,An Phat Plastic &amp; Green Environment JSC,2541,2
2,4,AAM,Mekong Fisheries Joint Stock Company,1813,1
3,5,AAV,Viet Tien Son Real Estate Holding Company,4522,2
4,6,ABR,Viet Brand Invest Joint Stock Company,4473,3
5,7,ABS,BinhThuan Agriculture Services JSC,4784,1
6,8,ABT,Bentre Aquaproduct Import And Export JSC,783,1
7,9,ACB,Asia Commercial Bank,885,2
8,10,ACC,Becamex Asphalt &amp; Concrete JSC,2041,1
9,11,ACL,Cuu Long Fish Joint Stock Company,936,1
10,12,ACM,A Cuong Mineral Group JSC,4027,2
11,13,ADC,Art Design And Communication JSC,2486,2
12,14,ADG,Clever Group Corporation,4779,3
13,15,AFC,Binh Duong Agriculture and Forestry JSC,4511,3
14,16,AG1,28.1 JSC,4633,3
15,17,AGF,Angiang Fisheries Import  Export JSC,38,1
16,18,AGG,An Gia Real Estate Investment and Development Corporation,4782,1
17,19,AGM,An Giang Import - Export Company,1935,1
18,20,AGR,AgriBank Securities Joint-Stock Corporation,1401,1
19,21,ALT,Alta Company,778,2
20,22,ALV,Vinas A Luoi Joint Stock Company,2657,2
21,23,AMC,Asia Mineral Joint Stock Company,2655,2
22,24,AMD,AMD Group Investment Joint Stock Company,3728,1
23,25,AME,Alphanam E&amp;C Joint Stock Company,2611,2
24,26,AMP,Armephaco Joint Stock Company,2607,3
25,27,AMV,American - Vietnamese Biotech Incorporation,2121,2
26,28,ANV,Nam Viet Corporation,1016,1
27,29,APC,An Phu Irradiation Joint Stock Company,1896,1
28,30,APG,An Phat Securities Joint Stock Company,1201,2
29,31,APH,An Phat Holdings Joint Stock Company,4803,1
30,32,API,Asia - Pacific  Investment Joint Stock Company ,1864,2
31,33,APL,,4393,3
32,34,APP,Additives And Petroleum Products Joint Stock Company,2670,2
33,35,APS,Asia - Pacific  Securities Joint Stock Company ,1319,2
34,36,AQN,28 Quang Ngai Joint Stock Company,4732,3
35,37,ARM,General Aviation Import Export JSC,1756,2
36,38,ASA,WMT Sana Joint Venture JSC,3021,2
37,39,ASG,,4698,1
38,40,ASM,Sao Mai Group Corporation,1930,1
39,41,ASP,An Pha Petrol Joint Stock Company,1060,1
40,42,AST,Taseco Air Services JSC,4626,1
41,43,ATA,Ntaco Corporation,1817,1
42,44,ATB,,4543,3
43,45,ATD,28 Da Nang Joint Stock Company,4746,3
44,46,ATS,Atesco Industrial Cartering Joint Stock Company,4136,2
45,47,AVC,A Vuong Hydropower JSC,3123,3
46,48,B82,Joint Stock Company No 482,1135,2
47,49,BAL,Beer - Alcohol - Beverage Packaging Joint Stock Company,2158,3
48,50,BAM,Bac A Metallurgy &amp; Mineral JSC,3763,2
49,51,BAX,Thong Nhat Joint Stock Company,1561,2
50,52,BBC,Bibica Corporation,47,1
51,53,BBH,Hoang Thach Bagging Joint Stock Company,4801,3
52,54,BBM,Ha Noi - Nam Dinh Beer JSC,4004,3
53,55,BBS,VICEM Packaging But Son JSC,889,2
54,56,BBT,Bach Tuyet Cotton Corporation,315,3
55,57,BCB,397 Joint Stock Company,4713,3
56,58,BCC,Bim Son Cement JSC,892,2
57,59,BCE,Binh Duong ConStruction &amp; Civil Engineering JSC,1769,1
58,60,BCG,Bamboo Capital Joint Stock Company,4058,1
59,61,BCI,Binh Chanh Construction Investment Shareholding Company,1489,1
60,62,BDB,Binh Dinh Book &amp; Equipment Joint Stock Company,1862,2
61,63,BDF,Binh Dinh Footwear JSC,3104,3
62,64,BDP,Oriental Sea Villas and Hotel JSC,4493,3
63,65,BED,Danang Books &amp; School Equipment JSC,1848,2
64,66,BFC,Binh Dien Fertilizer Joint Stock Company,3629,1
65,67,BGM,Bac Giang Exploitable Mineral Joint Stock Company,2760,1
66,68,BGW,Bac Giang Clean Water Joint Stock Company,4087,3
67,69,BHA,Bac Ha Hydropower Joint Stock Company,4531,3
68,70,BHG,Bien Ho Tea Limited Company,4715,3
69,71,BHK,,4671,3
70,72,BHN,Hanoi Beer Alcohol And Beverage Joint Stock Corporation,1313,1
71,73,BHS,Bien Hoa Sugar Joint Stock Company,784,1
72,74,BHT,Bach Dang TMC Construction Investment JSC,2659,3
73,75,BHV,Viglacera Ba Hien Joint Stock Company,893,3
74,76,BIC,BIDV Insurance Corporation,1909,1
75,77,BID,JSC Bank For Investment And Development Of Vietnam,1161,1
76,78,BII,Bao Thu Industrial Development and Investment JSC,3746,2
77,79,BKC,Bac Kan Mineral Joint Stock Corporation,1806,2
78,80,BKG,BKG Viet Nam Investment Joint Stock Company,4847,1
79,81,BLF,Bac Lieu Fisheries Joint Stock Company,1151,2
80,82,BLU,Bac Lieu Urban Service Center,4728,3
81,83,BMC,Binh Dinh Minerals Joint Stock Company,785,1
82,84,BMD,Binh Thuan Environmental Urban Service Joint Sotck Company,4512,3
83,85,BMF,,4670,3
84,86,BMG,Binh Minh Garment Joint Stock Company,4719,3
85,87,BMI,BaoMinh Insurance Corporation,894,1
86,88,BMN,715 Joint Stock Company,4294,3
87,89,BMP,Binh Minh Plastic Joint-Stock Company,712,1
88,90,BMV,Vinafood 1 Flour Joint Stock Company,4391,3
89,91,BNA,Bao Ngoc Investment Production Corporation,4834,2
90,92,BOT,Thai Ha Bridge BOT Joint Stock Company,4727,3
91,93,BPC,Vicem Packaging Bim Son JSC,40,2
92,94,BQB,Ha Noi - Quang Binh Beer JSC,4629,3
93,95,BRC,Ben Thanh Rubber Joint Stock Company,2146,1
94,96,BRR,BaRia Rubber Joint Stock Company,4515,3
95,97,BRS,Ba Ria Urban Service JSC,3829,3
96,98,BSA,,4699,3
97,99,BSC,Ben Thanh Service Joint Stock Company,2081,2
98,100,BSD,Sai Gon - Dong Xuan Beer Alcohol JSC,4495,3
99,101,BSH,Saigon - Hanoi Beer Coporation,4694,3
100,102,BSI,Bank for Invesment &amp; Development of Vietnam Securities Company,1402,1
101,103,BSL,SaiGon-SongLam Beer Joint Stock Company,4514,3
102,104,BSP,Sai Gon - Phu Tho beer JSC,4365,3
103,105,BSQ,Sai Gon - Quang Ngai Beer JSC,2802,3
104,106,BST,Binh Thuan Book And Equiptment JSC,1447,2
105,107,BT6,Beton 6 Corporation,36,3
106,108,BTB,Ha Noi - Thai Binh Beer Joint Stock Company,2401,3
107,109,BTD,Thu Duc Centrifugal Concrete Joint Stock Company,2455,3
108,110,BTN,Binh Dinh Tunnel Brick JSC,4627,3
109,111,BTP,BaRia Thermal Power Joint Stock Company,1702,1
110,112,BTS,Vicem But Son Cement JSC,895,2
111,113,BTT,Ben Thanh Trading &amp; Service Joint Stock Company,2042,1
112,114,BTV,BenThanh Tourist Service Corporation ,3848,3
113,115,BTW,Ben Thanh Water Supply Joint Stock Company,1307,2
114,116,BVH,Bao Viet Holdings,1544,1
115,117,BVS,Baoviet Securities Company,897,2
116,118,BWS,Ba Ria - Vung Tau Water Supply Joint Stock Company,2440,3
117,119,BXH,Hai Phong Cement Packing JSC,1563,2
118,120,BXT,Hau Giang Bus and Boat Station Joint Stock Company,4739,3
119,121,C22,,4679,3
120,122,C32,Construction Investment Corporation 3-2,2055,1
121,123,C47,Construction Joint Stock Company 47,2120,1
122,124,C92, Construction &amp; Investment JSC No 492,1028,2
123,125,CAG,An Giang Port Joint Stock Company,4504,2
124,126,CAN,Ha Long Canned Food Joint Stock Corporation,48,2
125,127,CAP,Yen Bai Joint Stock Forest Agricultural And Foodstuffs Company,1029,2
126,128,CAV,Vietnam Electric Cable Corporation,1283,1
127,129,CBI,,4562,3
128,130,CBS,Cao Bang Sugar JSC,3337,3
129,131,CC1,,4343,1
130,132,CCI,Cu Chi Commercial &amp; Industrial Developing Investment JSC,1277,1
131,133,CCL,Cuu Long Petro Urban Development &amp;  Investment Corporation,2710,1
132,134,CCM,Can Tho Mineral &amp; Cement Joint Stock Company,1312,3
133,135,CCP,Hai Phong Cua Cam Port Joint Stock Company,1638,3
134,136,CCV,VCC Engineering Consultants JSC,3835,3
135,137,CDC,Chuong Duong Joint Stock Company,1031,1
136,138,CDG,Cau Duong Joint Stock Company,2284,3
137,139,CDO,Consultancy Design &amp; Urban Development JSC,3982,1
138,140,CDP,Codupha Central Pharmaceutical JSC,2524,3
139,141,CE1,"Construction and Industry Equipment  .,JSC CIE1",3010,3
140,142,CEE,CII Engineering and Construction JSC,4468,1
141,143,CEG,Construction and Industry Equipment Group Corporation,2005,3
142,144,CEN,Cencon Vietnam JSC,4685,3
143,145,CEO,C.E.O Group Joint Stock Company,3345,2
144,146,CER,Cadastre and Enviromental Resources Joint Stock Company,4580,3
145,147,CET,Tech - Vina Joint Stock Company,4380,2
146,148,CFV,Thang loi Coffee JSC,4735,3
147,149,CHP,Central Hydropower Joint Stock Company,2123,2
148,150,CHS,HOCHIMINH CITY PUBLIC LIGHTING JSC,4242,3
149,151,CIA,Cam Ranh International Airport Services Joint Stock Company,4510,2
150,152,CID,Construction &amp; Infrastructure Development JSC,899,2
151,153,CIG,COMA 18 Joint Stock Company,2933,1
152,154,CII,Ho Chi Minh City Infrastructure Investment JSC,95,1
153,155,CJC,Central Area Electrical Mechanical JSC,900,2
154,156,CKA,,4711,3
155,157,CKH,HaiPhong Machinery Manufacturing Joint Stock Company ,2861,3
156,158,CKV,COKYVINA JSC,2175,2
157,159,CLC,Cat Loi Joint Stock Company,779,1
158,160,CLG,Cotec Invesment &amp; Land-House Development JSC,2252,1
159,161,CLL,Cat Lai Port Joint Stock Company,1637,1
160,162,CLM,Vinacomin - Coal Import Export Joint Stock Company,2221,2
161,163,CLW,Cholon Water Supply Joint Stock Company,1918,1
162,164,CLX,Cholon Investment And Import - Export Corporation ,4252,3
163,165,CMC,CMC Investment Joint Stock Company,901,2
164,166,CMG,CMC Corporation,1879,1
165,167,CMI,CMISTONE Viet Nam Joint Stock Company,1860,2
166,168,CMS,Viet Nam Construction and Manpower JSC,2529,2
167,169,CMT,Information &amp; Networking Technology JSC,1897,1
168,170,CMV,Ca Mau Trading Joint Stock Company,1733,1
169,171,CMW,Ca Mau Water Supply Joint Stock Company,4478,3
170,172,CMX,Ca Mau Frozen Seafood Processing Import Export Corporation,2368,1
171,173,CNG,CNG Viet Nam Joint Stock Company,3053,1
172,174,CNN,Consultant &amp; Inspection JSC of Construction Technology &amp; Equipment - CONINCO,3837,3
173,175,COM,Materials - Petroleum Joint Stock Company,768,1
174,176,ContainerMienTrung,Central Container Joint Stock Company,4483,2
175,177,CPC,Can Tho Pesticides JSC,1841,2
176,178,CPH,HaiPhong Funeral Services JSC,4455,3
